iter	Passed	Remaining
472	733	817
473	735	815
474	736	814
475	738	812
476	740	811
477	742	810
478	743	809
479	745	807
480	747	806
481	748	804
482	750	802
483	751	801
484	753	799
485	754	798
486	756	796
487	757	795
488	759	793
489	761	792
490	762	790
491	764	789
492	766	787
493	767	786
494	769	784
495	770	783
496	772	781
497	773	779
498	774	778
499	776	776
500	777	774
501	779	773
502	780	771
503	782	769
504	783	767
505	784	766
506	786	764
507	787	762
508	789	761
509	790	759
510	792	758
511	794	756
512	795	755
513	797	754
514	798	752
515	800	750
516	802	749
517	803	747
518	805	746
519	806	744
520	807	742
521	809	741
522	811	739
523	812	738
524	813	736
525	815	734
526	816	733
527	818	731
528	819	729
529	821	728
530	822	726
531	823	724
532	825	723
533	827	721
534	828	720
535	830	718
536	831	716
537	833	715
538	834	714
539	836	712
540	837	710
541	839	709
542	840	707
543	842	705
544	843	704
545	844	702
546	846	700
547	847	699
548	849	697
549	850	696
550	852	694
551	853	692
552	854	691
553	856	689
554	858	688
555	859	686
556	861	684
557	861	682
558	866	683
559	868	682
560	870	681
561	872	680
562	874	678
563	876	677
564	878	676
565	880	674
566	882	673
567	884	672
568	885	670
569	887	669
570	889	668
571	891	666
572	892	665
573	895	664
574	897	663
575	899	662
576	901	660
577	903	659
578	904	657
579	906	656
580	908	655
581	910	653
582	912	652
583	914	651
584	915	649
585	917	648
586	919	647
587	921	645
588	923	644
589	925	642
590	926	641
591	928	639
592	929	638
593	931	636
594	932	634
595	934	633
596	936	631
597	938	630
598	939	629
599	941	627
600	944	626
601	946	625
602	947	623
603	949	622
604	950	620
605	952	619
606	953	617
607	955	615
608	956	614
609	957	612
610	959	610
611	960	609
612	962	607
613	963	605
614	964	603
615	966	602
616	968	601
617	969	599
618	970	597
619	972	595
620	973	594
621	975	592
622	976	591
623	978	589
624	979	587
625	981	586
626	983	584
627	984	583
628	986	581
629	987	580
630	989	578
631	991	577
632	992	575
633	994	574
634	996	572
635	998	571
636	999	569
637	1001	568
638	1003	566
639	1005	565
640	1007	564
641	1009	562
642	1010	561
643	1012	559
644	1013	558
645	1015	556
646	1017	555
647	1018	553
648	1020	551
649	1022	550
650	1023	548
651	1025	547
652	1026	545
653	1028	543
654	1029	542
655	1031	540
656	1032	539
657	1034	537
658	1035	535
659	1037	534
660	1038	532
661	1040	531
662	1041	529
663	1043	527
664	1044	526
665	1046	524
666	1047	523
667	1049	521
668	1050	519
669	1052	518
670	1053	516
671	1055	515
672	1056	513
673	1058	511
674	1059	510
675	1061	508
676	1062	507
677	1064	505
678	1065	503
679	1067	502
680	1068	500
681	1070	498
682	1071	497
683	1073	495
684	1074	494
685	1075	492
686	1077	490
687	1079	489
688	1080	487
689	1082	486
690	1083	484
691	1085	483
692	1087	481
693	1088	480
694	1090	478
695	1091	476
696	1093	475
697	1094	473
698	1096	472
699	1097	470
700	1099	468
701	1100	467
702	1102	465
703	1103	464
704	1105	462
705	1106	460
706	1108	459
707	1110	457
708	1111	456
709	1113	454
710	1114	453
711	1116	451
712	1117	449
713	1119	448
714	1120	446
715	1122	445
716	1123	443
717	1125	442
718	1126	440
719	1128	438
720	1130	437
