iter	TotalF1	MultiClass
247	0.9719499412	0.1967844856
248	0.9719499412	0.1963944321
249	0.9719499412	0.1958688295
250	0.9743632169	0.1950362743
251	0.9743632169	0.194492584
252	0.9720585247	0.1936424113
253	0.9720585247	0.1933599144
254	0.9720585247	0.1925899368
255	0.9743632169	0.1918253007
256	0.9720585247	0.1912804804
257	0.9743632169	0.1903791092
258	0.9743632169	0.1894552935
259	0.9743632169	0.1886375536
260	0.9743632169	0.1880896178
261	0.9743632169	0.1874569381
262	0.9720585247	0.1868457859
263	0.9789624961	0.185897586
264	0.9813610145	0.1852095141
265	0.9813610145	0.1841801282
266	0.9813610145	0.183628139
267	0.9813610145	0.1830215016
268	0.9813610145	0.1821924413
269	0.9813610145	0.1817231678
270	0.9813610145	0.1808699563
271	0.9813610145	0.180349704
272	0.9813610145	0.179405466
273	0.9836647674	0.1787844611
274	0.9836647674	0.1778731887
275	0.9836647674	0.1771852868
276	0.9836647674	0.1762916176
277	0.9836647674	0.1759115115
278	0.9836647674	0.1751470598
279	0.9836647674	0.174718207
280	0.9836647674	0.1741954018
281	0.9836647674	0.1736850564
282	0.9836647674	0.173117641
283	0.9836647674	0.1722822048
284	0.9836647674	0.1716921022
285	0.9836647674	0.1714428112
286	0.9836647674	0.1709558931
287	0.9836647674	0.1700730174
288	0.9836647674	0.1694609723
289	0.9836647674	0.1690619649
290	0.9836647674	0.1682842431
291	0.9836647674	0.167649109
292	0.9836647674	0.16715405
293	0.9860505182	0.1662689212
294	0.9860505182	0.1656083761
295	0.9860505182	0.1650501926
296	0.9860505182	0.1647456709
297	0.9884037098	0.1643265174
298	0.9860505182	0.1635107465
299	0.9860505182	0.162915231
300	0.9884037098	0.1624309317
301	0.9884037098	0.1616742587
302	0.9860505182	0.161097198
303	0.9860505182	0.1603620002
304	0.9860505182	0.1600317401
305	0.9860505182	0.1592404177
306	0.9884037098	0.1587886133
307	0.9884037098	0.1584515692
308	0.9907116556	0.1579743011
309	0.9907116556	0.1574157608
310	0.9907116556	0.157170015
311	0.9907116556	0.1566384921
312	0.9907116556	0.155886235
313	0.9907116556	0.1554434668
314	0.9930532744	0.1548346583
315	0.9930532744	0.1541626586
316	0.9930532744	0.1533452972
317	0.9930532744	0.1526196784
318	0.9953703704	0.1522036738
319	0.9976853916	0.1520596097
320	0.9976853916	0.1513203668
321	0.9976853916	0.1508384845
322	0.9976853916	0.1505439009
323	0.9976853916	0.1502140992
324	0.9976853916	0.1497528653
325	0.9976853916	0.1489705699
326	0.9976853916	0.1485214318
327	0.9976853916	0.1482842166
328	0.9976853916	0.1480608357
329	0.9976853916	0.1477733286
330	0.9976853916	0.1472817183
331	0.9976853916	0.1465344649
332	0.9976853916	0.1459163424
333	0.9976853916	0.1453906409
334	0.9976853916	0.1450676144
335	0.9976853916	0.1446441783
336	0.9976853916	0.1442164903
337	0.9976853916	0.1436038093
338	0.9976853916	0.1430657999
339	0.9976853916	0.1428772201
340	0.9976853916	0.142552166
341	0.9976853916	0.1420327866
342	0.9976853916	0.1415180307
343	0.9976853916	0.1409203044
344	0.9976853916	0.1401157256
345	0.9976853916	0.1396921555
346	0.9976853916	0.139330121
347	0.9976853916	0.1391124988
348	0.9976853916	0.1385538959
349	0.9976853916	0.1380741069
350	0.9976853916	0.1376329143
351	0.9976853916	0.1372444635
352	0.9976853916	0.1366695223
353	0.9976853916	0.1361493327
354	0.9976853916	0.1355573689
355	0.9976853916	0.1352108686
356	0.9976853916	0.1345326792
357	0.9976853916	0.1337577203
358	0.9976853916	0.1335292315
359	0.9976853916	0.1332370581
360	0.9976853916	0.1328337948
361	0.9976853916	0.1321650796
362	0.9976853916	0.131962979
363	0.9976853916	0.1315671899
364	0.9976853916	0.131213429
365	0.9976853916	0.1309172736
366	0.9976853916	0.1305308988
367	0.9976853916	0.1301701796
