date,time,team2,score1,score2
18.10.2019,20:30,Константиновское-Округ 19,3.0,1.0
09.11.2021,16:30,Университет ИТМО,2.0,1.0
12.11.2021,19:30,Горный университет,1.0,2.0
17.11.2021,17:30,СПбГУАП,1.0,0.0
24.11.2021,17:30,СПб Университет ГПС МЧС России,4.0,4.0
30.11.2021,18:00,НГУ им. П.Ф.Лесгафта,5.0,3.0
07.12.2021,19:30,СПбГУПТД,5.0,8.0
15.12.2021,16:00,РГПУ им. А.И.Герцена,7.0,7.0
22.12.2021,17:30,СПбГЭУ,3.0,7.0
29.12.2021,17:30,СПбГЭТУ «ЛЭТИ»,2.0,1.0
08.02.2022,19:30,Горный университет,0.0,4.0
09.02.2022,17:30,Университет ИТМО,5.0,2.0
23.02.2022,16:00,СПбГУАП,5.0,3.0
27.02.2022,16:00,СПб Университет ГПС МЧС России,3.0,0.0
06.03.2022,19:00,НГУ им. П.Ф.Лесгафта,8.0,6.0
08.03.2022,15:30,СПбГУПТД,1.0,4.0
13.03.2022,16:00,РГПУ им. А.И.Герцена,4.0,2.0
30.03.2022,16:00,СПбГЭУ,1.0,4.0
03.04.2022,16:00,СПбГЭТУ «ЛЭТИ»,3.0,2.0
18.05.2024,21:00,СПбГУПТД,5.0,0.0
25.05.2024,20:40,Горный университет,6.0,1.0
01.06.2024,21:00,ПСПбГМУ им. И.П. Павлова,14.0,1.0
12.06.2024,15:40,БГТУ Военмех,1.0,1.0
15.06.2024,21:50,СПбГИКиТ,6.0,1.0
22.06.2024,20:30,РГПУ им. А.И. Герцена,2.0,5.0
16.05.2021,19:00,СПбГУ,1.0,0.0
23.05.2021,19:00,СПбГУТ,0.0,4.0
30.05.2021,20:15,Горный университет,0.0,0.0
02.06.2021,17:00,СЗИУ РАНХиГС,3.0,0.0
09.06.2021,18:15,"БГТУ ""ВОЕНМЕХ""",4.0,0.0
16.06.2021,17:00,РГПУ им. А.И. Герцена,1.0,4.0
25.06.2021,18:30,СПбГЛТУ,2.0,3.0
05.10.2019,09:00,СПбГЭТУ ЛЭТИ,2.0,4.0
20.10.2019,15:30,ГИЭФПТ,3.0,2.0
27.10.2019,15:30,СПбГЭТУ ЛЭТИ,0.0,1.0
07.11.2019,20:30,Горный университет,2.0,6.0
10.11.2019,15:30,СЗИУ РАНХиГС,5.0,0.0
14.11.2019,20:30,Горный университет,4.0,4.0
23.05.2022,15:15,Горный университет,4.0,1.0
30.05.2022,15:15,СПбГУПТД,0.0,2.0
06.06.2022,13:30,НГУ им. Лесгафта,4.0,2.0
14.06.2022,15:15,РГПУ им. Герцена,2.0,4.0
21.06.2022,13:30,ГУМРФ,18.0,0.0
04.12.2022,16:00,Локомотив 2006,12.0,1.0
10.12.2022,13:00,ФК Звезда,4.0,2.0
16.12.2022,20:00,СШ Красносельского района 2006,9.0,2.0
25.12.2022,20:30,ВЕЗУ,6.0,0.0
15.01.2023,16:00,Коломяги (Олимпийские надежды) мол.,2.0,0.0
22.01.2023,16:00,СШ №2 ВО Звезда мол.-д,2.0,1.0
26.01.2023,20:00,СШОР №1 Московского района 2006,3.0,0.0
04.02.2023,20:30,Алмаз-Антей мол.,3.0,0.0
08.10.2021,18:00,ГУМРФ,12.0,0.0
15.10.2021,19:00,"БГТУ ""ВОЕНМЕХ""",0.0,0.0
22.10.2021,17:00,СПбГУПТД,5.0,3.0
29.10.2021,19:00,РГПУ им. А.И.Герцена,2.0,9.0
12.11.2021,18:00,ГУМРФ,8.0,0.0
19.11.2021,19:00,"БГТУ ""ВОЕНМЕХ""",2.0,2.0
26.11.2021,17:00,СПбГУПТД,8.0,0.0
03.12.2021,19:00,РГПУ им. А.И.Герцена,0.0,12.0
10.12.2021,18:00,ЛГУ им. А.С.Пушкина,1.0,1.0
17.12.2021,18:00,ЛГУ им. А.С.Пушкина,0.0,5.0
29.10.2024,21:30,Горный университет,7.0,3.0
05.11.2024,21:30,СПбГЭТУ ЛЭТИ,4.0,4.0
20.11.2024,21:00,Университет ГПС МЧС,2.0,6.0
04.12.2016,13:00,Алмаз-Антей U-21,0.0,2.0
10.12.2016,14:30,Тосно U-21,1.0,2.0
17.12.2016,13:00,Московская Застава U-21,1.0,3.0
24.12.2016,14:30,СТД Петрович,1.0,2.0
07.01.2017,10:00,Дина,2.0,2.0
15.01.2017,11:30,Невский фронт,1.0,0.0
21.01.2017,16:00,ДЮСШ Звезда U-18,0.0,4.0
19.02.2017,14:30,Невский фронт U-21,4.0,2.0
25.02.2017,10:00,Локомотив U-21,6.0,4.0
14.05.2024,14:15,РГПУ им. Герцена,6.0,0.0
21.05.2024,14:15,Горный университет,2.0,2.0
28.05.2024,14:15,БГТУ ВОЕНМЕХ,3.0,0.0
04.06.2024,14:15,НГУ им. Лесгафта,1.0,2.0
30.06.2024,18:15,СПбГУПТД,0.0,2.0
